,feature,siren_present
00_000823.wav,"[-262.47509765625, 159.5681610107422, -18.415699005126953, 45.208106994628906, 2.983625650405884, 11.18859577178955, -6.111237049102783, 3.0488085746765137, -12.066399574279785, 6.428891658782959, -1.7390309572219849, 5.663651466369629, 5.576879501342773, 5.585160255432129]",false
00_000924.wav,"[-411.9598083496094, 162.4151611328125, -16.96693992614746, 31.83930015563965, 13.47004222869873, 9.962813377380371, 10.774069786071777, 14.29683780670166, 2.7394702434539795, 11.588656425476074, 5.969656467437744, 7.009289264678955, 9.559944152832031, 3.1670680046081543]",false
00_000925.wav,"[-343.3223876953125, 142.74203491210938, -12.461200714111328, 48.44190979003906, 6.016950607299805, 13.88659381866455, 1.5235626697540283, 10.41588306427002, -2.7873659133911133, 18.355295181274414, 2.859834909439087, 2.708986282348633, 9.024234771728516, 3.3797972202301025]",false
00_000934.wav,"[-185.7804412841797, 126.33078002929688, 10.622039794921875, 28.549373626708984, 6.874002456665039, 14.292709350585938, 5.385153293609619, 11.36731243133545, 2.7065229415893555, 14.042503356933594, 4.50397253036499, 9.553236961364746, 5.753830909729004, 9.3504056930542]",false
00_000970.wav,"[-339.7277526855469, 147.73963928222656, -25.783376693725586, 29.15266227722168, -3.1697707176208496, 19.139114379882812, 15.884042739868164, 17.248266220092773, 5.945800304412842, 10.870332717895508, 0.4271039366722107, 10.098572731018066, 5.129945755004883, 5.1248273849487305]",false
00_000985.wav,"[-400.1808166503906, 149.72482299804688, -11.839725494384766, 35.34688186645508, 2.1003732681274414, 8.306432723999023, 3.514875650405884, 9.964367866516113, -3.476635456085205, 11.405291557312012, 3.9411606788635254, 7.730908393859863, 5.664261817932129, 1.3700674772262573]",false
00_001108.wav,"[-285.84326171875, 157.2897186279297, -22.376901626586914, 37.42276382446289, 0.2683924734592438, 11.570939064025879, 1.5707892179489136, 14.637435913085938, 0.5791975855827332, 11.486345291137695, -0.235869899392128, 2.2471187114715576, 3.081409454345703, -0.6731289625167847]",false
00_001177.wav,"[-284.0774230957031, 144.0254364013672, -28.537994384765625, 29.99079132080078, -3.241654396057129, 13.26101303100586, -2.9277236461639404, 16.76996421813965, -0.16337189078330994, 14.684587478637695, 5.3545379638671875, 9.52293586730957, 10.405219078063965, -0.2767929434776306]",false
00_001414.wav,"[-404.25909423828125, 152.42794799804688, -13.765034675598145, 29.864294052124023, 12.279949188232422, 9.795248031616211, 8.533873558044434, 10.479998588562012, 1.5175445079803467, 13.190984725952148, 6.68692684173584, 6.027868747711182, 9.756803512573242, 1.5318007469177246]",false
00_001429.wav,"[-302.94256591796875, 136.90867614746094, -13.26491928100586, 32.81621551513672, -0.23105314373970032, 12.018921852111816, 1.1595351696014404, 16.097732543945312, -1.6479384899139404, 12.502132415771484, 2.5936689376831055, 7.3057451248168945, 4.92222785949707, 1.0843756198883057]",false
00_001449.wav,"[-268.89947509765625, 126.01045989990234, -27.43262481689453, 41.4342041015625, -4.0808234214782715, 17.570693969726562, -1.9593989849090576, 10.045245170593262, -7.502951622009277, 13.66882038116455, 0.42571911215782166, 8.355998039245605, -0.021223245188593864, 3.9410247802734375]",false
00_001513.wav,"[-355.9297180175781, 173.098876953125, -37.964881896972656, 18.550168991088867, 2.4225573539733887, 11.551969528198242, 4.2286200523376465, 12.152724266052246, 4.342652797698975, 14.486152648925781, 2.898437023162842, 3.9900381565093994, 4.559586524963379, 0.7032068371772766]",false
00_001590.wav,"[-361.77618408203125, 166.36428833007812, -45.55215835571289, 12.777544975280762, 0.10293139517307281, 12.52735424041748, 2.2749228477478027, 10.489777565002441, 1.380042314529419, 15.44537353515625, 0.40262556076049805, 3.375265598297119, 2.0900235176086426, 1.2596309185028076]",false
00_001597.wav,"[-238.66424560546875, 139.32167053222656, -27.321855545043945, 37.27815628051758, -8.243768692016602, 15.651325225830078, -5.2258172035217285, 6.632471084594727, -14.755463600158691, 12.188078880310059, 3.7433815002441406, 6.52266788482666, 0.43396225571632385, 2.084834098815918]",false
00_001641.wav,"[-390.2827453613281, 130.44210815429688, -17.783231735229492, 20.130573272705078, 4.358579635620117, 12.74875259399414, 4.487244129180908, 10.829155921936035, 1.497751235961914, 15.28752613067627, 5.403762340545654, 6.519229412078857, 3.814408540725708, 1.3225246667861938]",false
00_001651.wav,"[-300.7436828613281, 138.24159240722656, -15.803912162780762, 34.05807876586914, 1.1980137825012207, 13.2764253616333, 1.2225311994552612, 13.878276824951172, 2.4737937450408936, 15.98735237121582, 5.031259059906006, 11.564621925354004, 7.882856845855713, -1.1262444257736206]",false
00_001697.wav,"[-290.2471618652344, 144.52476501464844, -34.3636360168457, 25.807266235351562, -2.1480014324188232, 10.78412914276123, 0.5562331080436707, 12.422761917114258, 1.8871792554855347, 13.959344863891602, 3.8021621704101562, 9.73330307006836, 8.403432846069336, 0.05612138658761978]",false
00_001707.wav,"[-250.82284545898438, 152.39639282226562, -0.4987582266330719, 27.303483963012695, 5.737828254699707, 15.598933219909668, 4.723191261291504, 12.74813175201416, 7.898528099060059, 8.050320625305176, 5.117564678192139, 6.196057319641113, 2.0526442527770996, 9.004603385925293]",false
00_001756.wav,"[-448.17108154296875, 158.7793426513672, 3.333751916885376, 30.35802459716797, 13.304180145263672, 9.088634490966797, 9.644779205322266, 12.769098281860352, 1.0260505676269531, 14.58993911743164, 6.3499627113342285, 6.5190863609313965, 7.5774736404418945, 3.792670965194702]",false
00_001813.wav,"[-370.2963562011719, 166.9308624267578, -22.845684051513672, 26.454803466796875, 0.21461285650730133, 8.69041919708252, 4.795096397399902, 10.29277515411377, -0.5777546763420105, 16.19522476196289, 4.411186218261719, 5.105216026306152, 5.669258117675781, 2.282468795776367]",false
00_001840.wav,"[-343.3074645996094, 157.4441375732422, -22.86555290222168, 34.94952392578125, -0.06096302717924118, 9.557416915893555, 2.9947776794433594, 13.577590942382812, 1.4450455904006958, 11.864554405212402, 2.63445782661438, 10.68260383605957, 6.026010990142822, 1.2372159957885742]",false
00_001865.wav,"[-247.2847900390625, 95.56340026855469, -19.407108306884766, 27.715900421142578, -10.04392147064209, 7.920668125152588, -2.504760265350342, 10.104878425598145, -6.435821533203125, 8.376363754272461, -2.734748601913452, 9.844950675964355, 6.272135257720947, -0.09279203414916992]",false
00_001897.wav,"[-337.8706359863281, 148.37945556640625, -19.550933837890625, 31.829973220825195, -0.23644015192985535, 14.177760124206543, 3.7197110652923584, 12.916718482971191, 0.46906983852386475, 15.368596076965332, 6.4195990562438965, 8.697150230407715, 8.43189811706543, -0.30298078060150146]",false
00_001967.wav,"[-379.71697998046875, 162.38514709472656, -30.292570114135742, 16.329450607299805, 7.052879810333252, 12.675968170166016, 5.227530002593994, 14.161506652832031, 1.2638962268829346, 12.283894538879395, 0.5796772837638855, 6.714768409729004, 6.082913875579834, 2.8881893157958984]",false
00_002020.wav,"[-274.5238952636719, 131.8243408203125, -31.315166473388672, 21.076955795288086, 0.9868167042732239, 9.113911628723145, 0.25306645035743713, 13.861185073852539, 2.442535400390625, 13.60856819152832, 2.389338254928589, 10.086162567138672, 9.62258243560791, 0.2050144225358963]",false
00_002112.wav,"[-296.2684020996094, 152.9998779296875, -26.852230072021484, 38.112213134765625, 1.3689672946929932, 13.869857788085938, 2.295349597930908, 13.723411560058594, -3.5958991050720215, 11.97915267944336, 3.994371175765991, 5.773480415344238, 6.401331424713135, -1.0578124523162842]",false
00_002154.wav,"[-204.0553741455078, 117.16014862060547, -36.8370361328125, 20.505401611328125, -6.481813907623291, 9.268026351928711, -6.543245792388916, 15.761408805847168, 0.8195005059242249, 13.16022777557373, 0.7976393103599548, 10.110846519470215, 10.191594123840332, -3.803504467010498]",false
00_002325.wav,"[-360.45068359375, 152.88986206054688, -32.58753204345703, 26.820507049560547, 7.014693260192871, 14.169570922851562, 8.432839393615723, 12.33554458618164, -2.700042724609375, 15.748916625976562, 6.563424587249756, 5.398889541625977, 11.960619926452637, 0.21665465831756592]",false
00_002349.wav,"[-282.66851806640625, 119.14761352539062, -19.498645782470703, 29.57257652282715, -1.4766780138015747, 9.754558563232422, -2.011298418045044, 14.273807525634766, -0.15300928056240082, 17.105146408081055, -2.6215980052948, 11.506463050842285, 8.5357666015625, -2.6412317752838135]",false
00_002472.wav,"[-337.2943420410156, 103.65562438964844, -21.950336456298828, 58.858489990234375, -6.413433074951172, 12.696355819702148, 10.545663833618164, 8.987327575683594, -5.164916515350342, 9.746074676513672, -0.9500665068626404, -0.43088752031326294, 1.497805118560791, 3.096496343612671]",false
00_002484.wav,"[-287.482666015625, 152.2293243408203, -27.54578971862793, 33.46822738647461, -3.3119242191314697, 9.907654762268066, 4.291726112365723, 14.019784927368164, -2.3897299766540527, 13.516733169555664, 0.25925740599632263, 7.136889457702637, 6.549901008605957, 1.5506725311279297]",false
00_002600.wav,"[-251.3987579345703, 136.6959686279297, -48.124454498291016, -12.060147285461426, -4.750192165374756, 19.982568740844727, 39.28301239013672, 17.4212703704834, -10.801498413085938, 6.198515892028809, 22.24733543395996, 14.624704360961914, -0.7650070786476135, -8.415619850158691]",true
00_002626.wav,"[-246.371337890625, 120.54816436767578, -12.1495361328125, 32.67438507080078, -2.1089248657226562, 14.730716705322266, 2.231501340866089, 14.85869312286377, -1.649043321609497, 11.917656898498535, 0.6066194176673889, 7.126737117767334, 5.6326117515563965, 0.6057361960411072]",false
00_002749.wav,"[-193.69384765625, 109.54833984375, -20.791772842407227, 37.39607238769531, -14.334697723388672, 13.192059516906738, 4.03864049911499, 14.47739315032959, -0.312945157289505, 19.554346084594727, 1.8726078271865845, 15.59086799621582, 7.527552604675293, 1.7678728103637695]",false
00_002822.wav,"[-346.5176696777344, 143.49465942382812, -38.07011032104492, 24.70154571533203, -2.571430206298828, 12.894219398498535, 11.938766479492188, 14.961312294006348, -0.822434663772583, 13.382904052734375, 8.791566848754883, 7.547336101531982, 11.362865447998047, -2.988391637802124]",false
00_002872.wav,"[-279.6384582519531, 134.6806182861328, -11.108369827270508, 46.30965042114258, -5.781668663024902, 16.027219772338867, 5.570898056030273, 13.570806503295898, 0.23422162234783173, 14.413235664367676, -1.3440603017807007, 7.110720157623291, 3.070295572280884, 0.40493324398994446]",false
00_002978.wav,"[-398.37030029296875, 169.11253356933594, -34.03303527832031, 12.566197395324707, 5.262887954711914, 11.921097755432129, 6.006579399108887, 14.6021146774292, 5.017370223999023, 15.10235595703125, 4.384148120880127, 5.142198085784912, 4.373033046722412, 2.577962636947632]",false
03_000041.wav,"[-140.0511932373047, 114.97492218017578, -13.484576225280762, 4.845144748687744, -1.7650213241577148, 19.536928176879883, 8.668089866638184, 22.528274536132812, 6.004431247711182, 10.601301193237305, 1.5465744733810425, 8.907818794250488, 1.8834123611450195, 2.8010165691375732]",true
03_000076.wav,"[-293.43170166015625, 144.14602661132812, -38.62275314331055, 21.2325439453125, -3.0658721923828125, 10.940298080444336, 6.046064376831055, 20.7740421295166, 4.670870304107666, 4.993971347808838, -3.015522003173828, 3.8341665267944336, 9.211243629455566, -1.558583378791809]",true
03_000119.wav,"[-262.19342041015625, 95.17855834960938, -26.049911499023438, 36.683658599853516, -21.67809295654297, 11.701638221740723, -7.876794338226318, 15.593117713928223, -6.154064655303955, 9.251421928405762, -5.911829471588135, 4.072724342346191, 8.948101997375488, 6.812981128692627]",false
03_000157.wav,"[-124.49793243408203, 92.42943572998047, 2.0755202770233154, 26.53221321105957, -3.0216052532196045, 21.63351058959961, 3.759359836578369, 14.561251640319824, 6.055172443389893, 10.33757209777832, -0.4936347007751465, 10.871707916259766, -0.9278817176818848, 10.99189281463623]",false
03_000188.wav,"[-90.57411193847656, 106.5903091430664, 2.1497995853424072, 34.03299331665039, 9.358307838439941, 22.705900192260742, 10.016922950744629, 16.9111328125, 2.111727714538574, 7.123981475830078, -0.9760711789131165, 8.271554946899414, -1.7550119161605835, 5.629261493682861]",false
03_000215.wav,"[-150.86325073242188, 117.80484008789062, -20.66769027709961, 14.634872436523438, -4.678681373596191, 18.25533676147461, 11.561938285827637, 27.946914672851562, 4.933084011077881, 11.369683265686035, -8.910433769226074, 11.357665061950684, 3.996873378753662, 0.4351254105567932]",false
03_000230.wav,"[-303.2857666015625, 183.82679748535156, -32.97764205932617, 2.0221874713897705, -1.360859751701355, 22.800928115844727, 27.898393630981445, 20.158889770507812, 1.2601767778396606, 5.486441612243652, 2.372347354888916, -2.483452796936035, 2.328408718109131, -0.005018648225814104]",true
03_000266.wav,"[-143.21206665039062, 118.1080322265625, -6.267586708068848, 29.777236938476562, 2.678685188293457, 20.53246307373047, 3.7785463333129883, 12.917553901672363, -0.6268100738525391, 5.761067867279053, -6.072023391723633, 8.27442455291748, -1.0979284048080444, 3.5816502571105957]",false
03_000377.wav,"[-164.9617462158203, 137.69435119628906, -29.790721893310547, 31.76701545715332, -0.11393138021230698, 21.199771881103516, 5.215729236602783, 12.099706649780273, 2.754129409790039, 9.242959022521973, 0.48382556438446045, 4.8085551261901855, -0.30262038111686707, 6.6499457359313965]",false
03_000463.wav,"[-225.20176696777344, 124.67925262451172, 1.2013899087905884, 31.80243682861328, 9.303633689880371, 23.523761749267578, 13.909317016601562, 16.724735260009766, 3.3403007984161377, 8.525690078735352, 3.859344959259033, 9.163729667663574, 1.6231690645217896, 4.612565517425537]",true
03_000503.wav,"[-269.2984313964844, 115.60868072509766, -12.551837921142578, 31.862905502319336, -13.574166297912598, 18.87424659729004, -0.174935445189476, 24.566734313964844, 9.30511474609375, 11.476285934448242, -5.4385223388671875, -2.9324328899383545, 9.205507278442383, 3.5300350189208984]",false
03_000528.wav,"[-337.059814453125, 133.78578186035156, -2.450165033340454, 41.446258544921875, 10.031716346740723, 15.239205360412598, 8.530224800109863, 17.529296875, 3.7487940788269043, 12.926497459411621, -1.0895929336547852, 7.308662414550781, 3.954962968826294, 0.6032480597496033]",false
03_000629.wav,"[-138.400634765625, 119.6704330444336, -13.258687019348145, 29.96658706665039, 0.7166299223899841, 21.886924743652344, 9.421077728271484, 14.978853225708008, 2.939574956893921, 7.820959568023682, 2.177572011947632, 7.886760234832764, -0.14725983142852783, 5.377956390380859]",false
03_000682.wav,"[-171.41619873046875, 133.53866577148438, -15.159771919250488, 11.830268859863281, 3.4586970806121826, 18.37818145751953, 6.153037071228027, 17.109935760498047, 2.9327917098999023, 9.421038627624512, 1.6622633934020996, 7.248164176940918, 0.7959538102149963, 3.4785611629486084]",true
03_000729.wav,"[-96.78751373291016, 67.65068817138672, -16.408205032348633, 22.982860565185547, -3.7516069412231445, 17.670764923095703, 6.771846771240234, 17.06965446472168, 3.9771175384521484, 15.016166687011719, 1.3429861068725586, 6.546561241149902, -1.043009638786316, 7.332785606384277]",false
03_000782.wav,"[-36.11183166503906, 8.300020217895508, 15.101510047912598, 22.734466552734375, 11.467428207397461, 18.455455780029297, 6.106078147888184, 20.342872619628906, 0.17304806411266327, 1.0685230493545532, -3.912813186645508, 7.378031253814697, 2.809007167816162, -0.9357121586799622]",false
03_000838.wav,"[-419.8057556152344, 150.57650756835938, -9.483119010925293, 31.23548126220703, 9.620284080505371, 15.082693099975586, 8.005939483642578, 13.748836517333984, 3.1073222160339355, 13.129131317138672, 0.3400580585002899, 7.903137683868408, 4.119668483734131, 1.973110318183899]",false
03_000840.wav,"[-206.57154846191406, 95.28087615966797, -1.0437389612197876, 50.64430618286133, 21.316438674926758, 29.78936004638672, 14.94474983215332, 4.595889568328857, -12.231136322021484, 6.625091552734375, -8.616804122924805, 2.320589542388916, -3.126460313796997, -2.177220582962036]",false
03_000893.wav,"[-141.81748962402344, 112.9595947265625, 0.9039718508720398, 23.966968536376953, 7.701345920562744, 21.515716552734375, 8.36025333404541, 16.2943172454834, -0.24148276448249817, 9.132086753845215, -2.0181853771209717, 7.809108257293701, 2.28104567527771, 7.126731872558594]",false
03_000965.wav,"[-395.2552185058594, 156.57040405273438, -32.491127014160156, 14.927467346191406, 1.5801596641540527, 13.70131778717041, 6.183107376098633, 14.758118629455566, 3.711836099624634, 13.958056449890137, 0.9139248728752136, 3.839158058166504, 5.077425956726074, 0.45686137676239014]",false
03_000983.wav,"[-194.80393981933594, 160.2760772705078, -20.747337341308594, 5.360255718231201, -15.912397384643555, 8.579429626464844, 15.603134155273438, 28.948148727416992, 10.272974967956543, 6.296782493591309, -3.7547786235809326, 5.74629545211792, 2.7193009853363037, 0.7880806922912598]",true
03_001005.wav,"[-208.4471435546875, 132.0916748046875, -1.624940276145935, 35.27444839477539, 7.991819858551025, 20.799823760986328, 8.590371131896973, 15.324265480041504, 1.3698830604553223, 12.918758392333984, 1.5579133033752441, 6.221285343170166, 4.921139717102051, 7.349136829376221]",false
03_001019.wav,"[-198.826416015625, 131.9368438720703, -6.593947887420654, 39.82326126098633, 5.777116775512695, 23.551773071289062, 6.538520812988281, 14.633980751037598, 2.9366137981414795, 10.976675987243652, 0.3660222589969635, 8.911291122436523, 1.7728098630905151, 3.866577386856079]",false
03_001061.wav,"[-251.6373748779297, 63.06689453125, -11.4951810836792, 25.271724700927734, 2.618595600128174, 12.08074951171875, 3.181751012802124, 16.07056427001953, 4.558946132659912, 12.425204277038574, -1.665677785873413, 3.8849236965179443, 4.174986362457275, 0.08572040498256683]",false
03_001109.wav,"[-361.7628479003906, 138.69857788085938, -19.55599021911621, 39.0008430480957, 5.11064338684082, 19.679292678833008, 10.898576736450195, 16.11865234375, -0.66507887840271, 8.7799654006958, -3.5242364406585693, 7.98357629776001, 7.0787153244018555, -0.04680226743221283]",true
03_001127.wav,"[-179.0579833984375, 142.42489624023438, -9.432771682739258, 31.052875518798828, 9.827966690063477, 21.091663360595703, 11.376951217651367, 17.081274032592773, 5.024357795715332, 9.54318618774414, 4.370591640472412, 10.640254974365234, 2.606417179107666, 3.8277101516723633]",false
03_001150.wav,"[-419.397705078125, 177.13624572753906, -23.34369468688965, 14.128006935119629, 26.7761173248291, 10.977103233337402, 14.52416706085205, 13.1365327835083, 10.591586112976074, 12.794204711914062, 4.578920841217041, 2.8283700942993164, 8.483015060424805, 5.629292964935303]",true
03_001204.wav,"[-353.5661926269531, 177.0548858642578, -32.92592239379883, 6.755530834197998, 1.3921496868133545, 6.644346237182617, 10.741278648376465, 17.2557430267334, 4.022053241729736, 11.383697509765625, 4.923400402069092, 5.031642913818359, 1.1182281970977783, -3.207310676574707]",true
03_001237.wav,"[-377.5735168457031, 175.1695556640625, -9.521678924560547, 38.325260162353516, 11.414092063903809, 17.68624496459961, 11.463008880615234, 11.936290740966797, 1.7704986333847046, 8.31877326965332, -0.8256071209907532, 1.991432547569275, 3.3523449897766113, -3.5251028537750244]",false
03_001323.wav,"[-293.10906982421875, 123.07030487060547, -50.76121520996094, -7.317448616027832, -10.627957344055176, 24.699966430664062, 42.626949310302734, 20.44370460510254, -9.745278358459473, 1.8743993043899536, 16.305919647216797, 11.464905738830566, 0.13049545884132385, -13.65237808227539]",true
03_001361.wav,"[-260.640625, 109.27758026123047, -22.338253021240234, 40.927978515625, -10.525141716003418, 11.737942695617676, 0.6769589185714722, 16.238771438598633, -1.4461684226989746, 11.067130088806152, -1.474015474319458, 5.544533729553223, 7.265822887420654, 3.137768030166626]",false
03_001385.wav,"[-402.4702453613281, 144.31048583984375, -22.132461547851562, 41.27424240112305, 0.5019381046295166, 17.818954467773438, 15.34325122833252, 23.476682662963867, 4.784819602966309, 8.559447288513184, -6.316007614135742, 4.5749125480651855, 2.5020875930786133, -5.647789001464844]",false
03_001405.wav,"[-320.05755615234375, 141.71900939941406, -32.77405548095703, 39.20408248901367, -2.305713415145874, 9.769207000732422, 14.420856475830078, 14.53234577178955, 0.5823351144790649, 14.977110862731934, 1.3417288064956665, 9.989900588989258, 8.480513572692871, 2.2786643505096436]",false
03_001428.wav,"[-281.39813232421875, 135.33074951171875, 10.06864070892334, 31.50129508972168, 14.741564750671387, 16.600046157836914, 9.281534194946289, 13.791632652282715, 4.972285747528076, 8.198474884033203, 1.5248690843582153, 5.685523509979248, -2.325155258178711, 2.8045740127563477]",false
03_001470.wav,"[-266.1980285644531, 144.82693481445312, -74.5846176147461, -23.4195613861084, -18.216920852661133, 23.51517677307129, 46.916500091552734, 24.980335235595703, 3.798992395401001, 12.633487701416016, 4.2954277992248535, 1.8801400661468506, -9.381529808044434, -5.899338245391846]",true
03_001573.wav,"[-370.8789978027344, 96.0929946899414, -23.121688842773438, 27.906736373901367, 17.241180419921875, 17.239561080932617, 7.2110395431518555, 20.8714542388916, -0.06637197732925415, 15.782999038696289, 3.4374845027923584, 7.239551067352295, 8.574020385742188, 4.402043342590332]",false
03_001582.wav,"[-141.17710876464844, 118.70794677734375, -15.75389289855957, 20.470230102539062, -1.460384488105774, 14.016454696655273, -1.11603581905365, 9.543620109558105, 2.858289957046509, 12.23819637298584, 0.17501221597194672, 9.741735458374023, 3.281471014022827, 7.720541477203369]",false
03_001616.wav,"[-246.9991455078125, 33.903385162353516, 7.475182056427002, 24.60230827331543, 9.970727920532227, 14.830809593200684, 7.051818370819092, 14.633540153503418, 4.561399459838867, 12.825512886047363, 0.28161680698394775, 6.194022178649902, 6.950700759887695, 0.7051209211349487]",false
03_001708.wav,"[-272.10491943359375, 114.87026977539062, -32.23545455932617, 36.22806930541992, -1.4949357509613037, 19.282155990600586, 5.488460063934326, 26.6307430267334, 1.314626932144165, 8.026926040649414, -7.950143814086914, 0.2839723527431488, 7.696427345275879, -3.1262810230255127]",false
03_001711.wav,"[-145.38243103027344, 120.52509307861328, 1.0981699228286743, 33.1624641418457, 8.235770225524902, 21.487947463989258, 9.84192943572998, 14.467927932739258, 1.546759009361267, 11.425745964050293, 2.264094352722168, 8.547392845153809, 2.8305861949920654, 5.879057884216309]",false
03_001796.wav,"[-214.3095703125, 125.85148620605469, -3.075302839279175, 26.32592010498047, 9.65444278717041, 19.091411590576172, 0.7010336518287659, 15.955820083618164, -1.6873201131820679, 13.790098190307617, -0.7060960531234741, 8.606881141662598, 4.423255443572998, 2.830528497695923]",false
03_001804.wav,"[-191.02117919921875, 89.22159576416016, -4.397228240966797, 45.97075653076172, 14.797796249389648, 23.705501556396484, 18.09443473815918, 7.353514671325684, -10.008658409118652, 6.169516086578369, -1.5167909860610962, 0.6699032783508301, -1.0052556991577148, -2.0567262172698975]",false
03_001815.wav,"[-274.17547607421875, 92.23421478271484, -16.631839752197266, 38.041988372802734, -9.615398406982422, 16.714941024780273, 1.8805351257324219, 18.324716567993164, 1.6777126789093018, 10.75863265991211, -2.433532953262329, 6.786879539489746, 5.042458534240723, 1.7846523523330688]",false
03_001904.wav,"[-192.5660400390625, 59.84331130981445, -17.965547561645508, 28.88885498046875, 7.686617374420166, 13.716322898864746, 7.293026924133301, 16.300283432006836, -1.360324740409851, 13.560938835144043, -2.070328950881958, 5.8463873863220215, 3.5518317222595215, 1.944155216217041]",false
03_001907.wav,"[-187.4580841064453, 135.5837860107422, -2.3363380432128906, 31.88811492919922, 7.393765449523926, 18.490489959716797, 8.08780288696289, 15.322487831115723, 2.12957763671875, 7.654943943023682, 3.262275218963623, 7.060089111328125, 1.696411371231079, 5.5854363441467285]",false
03_001916.wav,"[-406.73101806640625, 154.7622833251953, -37.08281707763672, 17.179140090942383, 9.247020721435547, 15.174800872802734, 7.439037322998047, 14.874646186828613, 4.284674644470215, 13.612646102905273, -0.07007727026939392, 3.0922913551330566, 2.981327772140503, 1.8434861898422241]",false
03_001923.wav,"[-161.01974487304688, 112.39543151855469, -6.959578037261963, 26.36859893798828, 5.314242362976074, 22.593002319335938, 6.323051929473877, 14.137358665466309, -4.374594211578369, 5.3452982902526855, -3.3708691596984863, 8.535493850708008, -4.681056022644043, 5.023482322692871]",false
03_002074.wav,"[-87.13658142089844, 98.2110366821289, -13.566119194030762, 27.533634185791016, 4.5872368812561035, 21.618610382080078, 7.042128562927246, 21.511728286743164, 0.28355225920677185, 9.238692283630371, 0.8323850035667419, 5.778712749481201, 2.008765697479248, 4.636477470397949]",false
03_002136.wav,"[-188.63075256347656, 125.19174194335938, -9.337747573852539, 30.875690460205078, 6.753161430358887, 24.850557327270508, 11.918059349060059, 12.771665573120117, 5.338691711425781, 12.460728645324707, 6.353350639343262, 8.891487121582031, -1.3021551370620728, 4.674500942230225]",false
03_002315.wav,"[-306.57208251953125, 127.27300262451172, -57.05943298339844, 21.488107681274414, 3.950566530227661, 12.207803726196289, 11.88206958770752, 26.93939781188965, 7.318165302276611, 17.5201473236084, -1.2808430194854736, -1.6584004163742065, 1.554682731628418, 2.46079421043396]",true
03_002326.wav,"[-47.33306121826172, 15.662423133850098, 11.474721908569336, 21.708271026611328, 3.950272798538208, 15.714940071105957, 1.5303752422332764, 19.324323654174805, 3.8304975032806396, 8.42685604095459, -2.7997446060180664, 2.7208285331726074, 4.206827163696289, 4.894488334655762]",false
